,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Cal Grant,955,1325,1593,1750,1725,1878,2092,2580,3399,4185,4424,4787,4988,5120,5205,5449,5368,5419,5292,5203,5210
Pell Grant,941,973,964,929,932,1042,1194,1643,1924,2011,2054,2143,2181,2189,2122,2235,2243,2202,2178,2138,2187
UC Grant (All),853,1253,1332,1578,1698,1788,1986,2360,3200,3711,3959,3916,4090,4056,4205,4469,4367,4332,4212,4735,4796
UC Grant (Need Based),835,1233,1310,1557,1674,1762,1958,2329,3167,3679,3900,3858,4028,3990,4165,4436,4343,4308,4199,4723,4777
UC Scholarships,331,352,413,407,425,436,449,429,419,453,475,495,525,530,548,594,649,690,715,724,776
CA Middle Class Scholarship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,62,104,142,157,187,206,173,818
Other Scholarships,241,327,323,311,423,402,396,456,450,215,210,222,310,295,339,399,433,460,457,440,1100
Total Gift Aid,3399,4308,4695,5055,5281,5628,6195,7548,9468,10655,11189,11635,12169,12271,12491,13220,13150,13735,13598,14850,14248
Total Loans (excl. PLUS),2042,2086,2136,2114,2116,2243,2547,2824,2928,3118,3067,2961,2829,2747,2659,2581,2453,2326,1537,1734,1760
